"FinancialYear","LocationCode","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"1997/98","C121H","SMR01"," ",105,105,105,90,"",":"
"1997/98","C121H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","C121H","Total","d",105,105,105,90,"0"," "
"1997/98","C122H","SMR01"," ",60,60,60,50,"",":"
"1997/98","C122H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","C122H","Total","d",60,60,60,50,"0"," "
"1997/98","C204H","SMR01"," ",0,5,5,5,"",":"
"1997/98","C204H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","C204H","Total","d",0,5,5,5,"0"," "
"1997/98","C206H","SMR01"," ",85,80,75,75,"",":"
"1997/98","C206H","SMR04"," ",370,345,320,245,"50"," "
"1997/98","C206H","Total","d",455,425,395,310,"50"," "
"1997/98","C207H","SMR01"," ",5,5,5,5,"",":"
"1997/98","C207H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","C207H","Total","d",5,5,5,5,"0"," "
"1997/98","C310H","SMR01"," ",20,15,10,10,"",":"
"1997/98","C310H","SMR04"," ",300,305,300,205,"160"," "
"1997/98","C310H","Total","d",320,320,315,215,"160"," "
"1997/98","C311H","SMR01"," ",35,25,25,25,"",":"
"1997/98","C311H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","C311H","Total","d",35,25,25,25,"0"," "
"1997/98","C313H","SMR01"," ",250,250,235,210,"",":"
"1997/98","C313H","SMR04"," ",440,440,390,355,"45"," "
"1997/98","C313H","Total","d",690,690,625,555,"45"," "
"1997/98","C403H","SMR01"," ",0,0,0,0,"",":"
"1997/98","C403H","SMR04"," ",920,925,815,730,"355"," "
"1997/98","C403H","Total","d",920,925,815,730,"355"," "
"1997/98","C405H","SMR01"," ",0,0,0,0,"",":"
"1997/98","C405H","SMR04"," ",115,115,105,90,"110"," "
"1997/98","C405H","Total","d",115,115,105,90,"110"," "
"1997/98","C418H","SMR01"," ",315,315,305,280,"",":"
"1997/98","C418H","SMR04"," ",555,555,410,465,"55"," "
"1997/98","C418H","Total","d",865,870,715,715,"55"," "
"1997/98","D101H","SMR01"," ",0,0,0,0,"",":"
"1997/98","D101H","SMR04"," ",80,75,35,75,"225"," "
"1997/98","D101H","Total","d",80,75,35,75,"225"," "
"1997/98","D102H","SMR01"," ",0,0,0,0,"",":"
"1997/98","D102H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","D102H","Total","d",0,0,0,0,"0"," "
"1997/98","F704H","SMR01"," ",140,145,125,115,"",":"
"1997/98","F704H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","F704H","Total","d",140,145,125,115,"0"," "
"1997/98","F705H","SMR01"," ",0,0,0,0,"",":"
"1997/98","F705H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","F705H","Total","d",0,0,0,0,"0"," "
"1997/98","F708H","SMR01"," ",0,0,0,0,"",":"
"1997/98","F708H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","F708H","Total","d",0,0,0,0,"0"," "
"1997/98","F709H","SMR01"," ",30,25,25,25,"",":"
"1997/98","F709H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","F709H","Total","d",30,25,25,25,"0"," "
"1997/98","F710H","SMR01"," ",0,0,0,0,"",":"
