"FinancialYear","LocationCode","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"1999/00","L101H","SMR01"," ",0,0,0,0,"",":"
"1999/00","L101H","SMR04"," ",140,140,130,60,"15"," "
"1999/00","L101H","Total","d",140,140,130,60,"15"," "
"1999/00","L102K","SMR01"," ",0,0,0,0,"",":"
"1999/00","L102K","SMR04"," ",0,0,0,0,"0"," "
"1999/00","L102K","Total","d",0,0,0,0,"0"," "
"1999/00","L103H","SMR01"," ",5,5,5,5,"",":"
"1999/00","L103H","SMR04"," ",35,15,15,15,"20"," "
"1999/00","L103H","Total","d",35,20,20,15,"20"," "
"1999/00","L104H","SMR01"," ",5,10,10,5,"",":"
"1999/00","L104H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","L104H","Total","d",5,10,10,5,"0"," "
"1999/00","L106H","SMR01"," ",405,405,380,300,"",":"
"1999/00","L106H","SMR04"," ",655,685,610,510,"30"," "
"1999/00","L106H","Total","d",1060,1090,990,785,"30"," "
"1999/00","L112V","SMR01"," ",0,0,0,0,"",":"
"1999/00","L112V","SMR04"," ",5,10,10,10,"35"," "
"1999/00","L112V","Total","d",5,10,10,10,"35"," "
"1999/00","L201K","SMR01"," ",5,5,5,5,"",":"
"1999/00","L201K","SMR04"," ",0,0,0,0,"0"," "
"1999/00","L201K","Total","d",5,5,5,5,"0"," "
"1999/00","L203H","SMR01"," ",0,0,0,0,"",":"
"1999/00","L203H","SMR04"," ",50,55,55,55,"85"," "
"1999/00","L203H","Total","d",50,55,55,55,"85"," "
"1999/00","L204H","SMR01"," ",0,0,0,0,"",":"
"1999/00","L204H","SMR04"," ",790,800,710,630,"220"," "
"1999/00","L204H","Total","d",790,800,710,630,"220"," "
"1999/00","L206H","SMR01"," ",0,0,0,0,"",":"
"1999/00","L206H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","L206H","Total","d",0,0,0,0,"0"," "
"1999/00","L207H","SMR01"," ",10,5,5,5,"",":"
"1999/00","L207H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","L207H","Total","d",10,5,5,5,"0"," "
"1999/00","L208H","SMR01"," ",205,215,190,180,"",":"
"1999/00","L208H","SMR04"," ",155,160,60,150,"20"," "
"1999/00","L208H","Total","d",360,375,250,325,"20"," "
"1999/00","L209H","SMR01"," ",20,20,20,15,"",":"
"1999/00","L209H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","L209H","Total","d",20,20,20,15,"0"," "
"1999/00","L211H","SMR01"," ",0,0,0,0,"",":"
"1999/00","L211H","SMR04"," ",10,10,10,10,"15"," "
"1999/00","L211H","Total","d",10,10,10,10,"15"," "
"1999/00","L213V","SMR01"," ",0,0,0,0,"",":"
"1999/00","L213V","SMR04"," ",15,20,20,20,"65"," "
"1999/00","L213V","Total","d",15,20,20,20,"65"," "
"1999/00","L218H","SMR01"," ",0,0,0,0,"",":"
"1999/00","L218H","SMR04"," ",105,105,90,65,"30"," "
"1999/00","L218H","Total","d",105,105,90,65,"30"," "
"1999/00","L302H","SMR01"," ",175,180,175,165,"",":"
"1999/00","L302H","SMR04"," ",695,680,615,550,"60"," "
"1999/00","L302H","Total","d",870,860,785,690,"60"," "
"1999/00","L304H","SMR01"," ",25,30,25,25,"",":"
"1999/00","L304H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","L304H","Total","d",25,30,25,25,"0"," "
"1999/00","L305H","SMR01"," ",0,0,0,0,"",":"
"1999/00","L305H","SMR04"," ",255,270,265,170,"30"," "
"1999/00","L305H","Total","d",260,275,265,170,"30"," "
"1999/00","L306H","SMR01"," ",0,0,0,0,"",":"
"1999/00","L306H","SMR04"," ",5,0,0,0,"5"," "
"1999/00","L306H","Total","d",5,0,0,0,"5"," "
"1999/00","L307H","SMR01"," ",0,0,0,0,"",":"
"1999/00","L307H","SMR04"," ",25,20,15,15,"10"," "
"1999/00","L307H","Total","d",25,20,15,15,"10"," "
"1999/00","L308H","SMR01"," ",0,0,0,0,"",":"
"1999/00","L308H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","L308H","Total","d",0,0,0,0,"0"," "
"1999/00","N101H","SMR01"," ",555,555,490,465,"",":"
"1999/00","N101H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","N101H","Total","d",555,555,490,465,"0"," "
"1999/00","N102H","SMR01"," ",95,100,95,90,"",":"
"1999/00","N102H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","N102H","Total","d",95,100,95,90,"0"," "
"1999/00","N103H","SMR01"," ",0,0,0,0,"",":"
"1999/00","N103H","SMR04"," ",70,75,75,35,"15"," "
"1999/00","N103H","Total","d",70,75,75,35,"15"," "
"1999/00","N121H","SMR01"," ",10,10,10,10,"",":"
"1999/00","N121H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","N121H","Total","d",10,10,10,10,"0"," "
"1999/00","N151H","SMR01"," ",5,5,5,5,"",":"
"1999/00","N151H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","N151H","Total","d",5,5,5,5,"0"," "
"1999/00","N171H","SMR01"," ",0,0,0,0,"",":"
"1999/00","N171H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","N171H","Total","d",0,0,0,0,"0"," "
"1999/00","N181H","SMR01"," ",10,10,10,10,"",":"
"1999/00","N181H","SMR04"," ",25,20,20,15,"30"," "
"1999/00","N181H","Total","d",35,30,30,25,"30"," "
"1999/00","N182H","SMR01"," ",15,15,15,15,"",":"
"1999/00","N182H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","N182H","Total","d",15,15,15,15,"0"," "
"1999/00","N184H","SMR01"," ",0,0,0,0,"",":"
"1999/00","N184H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","N184H","Total","d",0,0,0,0,"0"," "
"1999/00","N198H","SMR01"," ",0,0,0,0,"",":"
"1999/00","N198H","SMR04"," ",1815,1820,1625,1270,"365"," "
"1999/00","N198H","Total","d",1815,1820,1625,1270,"365"," "
"1999/00","N331H","SMR01"," ",15,15,15,10,"",":"
"1999/00","N331H","SMR04"," ",40,40,40,40,"25"," "
"1999/00","N331H","Total","d",55,55,55,45,"25"," "
"1999/00","N332H","SMR01"," ",0,0,0,0,"",":"
"1999/00","N332H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","N332H","Total","d",0,0,0,0,"0"," "
"1999/00","N333H","SMR01"," ",25,25,25,20,"",":"
"1999/00","N333H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","N333H","Total","d",25,25,25,20,"0"," "
"1999/00","N334H","SMR01"," ",20,20,20,15,"",":"
"1999/00","N334H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","N334H","Total","d",20,20,20,15,"0"," "
"1999/00","N335H","SMR01"," ",25,25,25,20,"",":"
"1999/00","N335H","SMR04"," ",30,30,30,15,"10"," "
"1999/00","N335H","Total","d",55,55,55,40,"10"," "
"1999/00","N336H","SMR01"," ",5,5,5,5,"",":"
"1999/00","N336H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","N336H","Total","d",5,5,5,5,"0"," "
"1999/00","N337H","SMR01"," ",40,35,35,25,"",":"
"1999/00","N337H","SMR04"," ",0,5,5,5,"10"," "
"1999/00","N337H","Total","d",40,40,40,30,"10"," "
"1999/00","N351H","SMR01"," ",0,0,0,0,"",":"
"1999/00","N351H","SMR04"," ",15,15,15,15,"20"," "
"1999/00","N351H","Total","d",15,15,15,15,"20"," "
"1999/00","N352H","SMR01"," ",0,0,0,0,"",":"
"1999/00","N352H","SMR04"," ",10,10,10,10,"30"," "
"1999/00","N352H","Total","d",10,10,10,10,"30"," "
"1999/00","N353H","SMR01"," ",0,0,0,0,"",":"
"1999/00","N353H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","N353H","Total","d",0,0,0,0,"0"," "
"1999/00","N406V","SMR01"," ",0,0,0,0,"",":"
"1999/00","N406V","SMR04"," ",75,65,60,50,"25"," "
"1999/00","N406V","Total","d",75,65,60,50,"25"," "
"1999/00","N411H","SMR01"," ",95,95,85,80,"",":"
"1999/00","N411H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","N411H","Total","d",95,95,85,80,"0"," "
"1999/00","N431H","SMR01"," ",0,0,0,0,"",":"
"1999/00","N431H","SMR04"," ",30,30,30,25,"25"," "
"1999/00","N431H","Total","d",35,35,30,25,"25"," "
"1999/00","N432H","SMR01"," ",5,5,5,5,"",":"
"1999/00","N432H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","N432H","Total","d",5,5,5,5,"0"," "
"1999/00","N433H","SMR01"," ",40,40,40,30,"",":"
"1999/00","N433H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","N433H","Total","d",40,40,40,30,"0"," "
"1999/00","N434H","SMR01"," ",15,20,20,15,"",":"
"1999/00","N434H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","N434H","Total","d",15,20,20,15,"0"," "
"1999/00","N451H","SMR01"," ",5,5,5,5,"",":"
"1999/00","N451H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","N451H","Total","d",5,5,5,5,"0"," "
"1999/00","N453H","SMR01"," ",5,5,5,5,"",":"
"1999/00","N453H","SMR04"," ",20,20,10,15,"5"," "
"1999/00","N453H","Total","d",25,25,15,20,"5"," "
"1999/00","N492H","SMR01"," ",0,0,0,0,"",":"
"1999/00","N492H","SMR04"," ",30,30,5,15,"10"," "
"1999/00","N492H","Total","d",30,30,5,15,"10"," "
"1999/00","N494H","SMR01"," ",5,5,5,5,"",":"
"1999/00","N494H","SMR04"," ",25,15,15,5,"10"," "
"1999/00","N494H","Total","d",25,20,15,10,"10"," "
"1999/00","N495H","SMR01"," ",0,0,0,0,"",":"
"1999/00","N495H","SMR04"," ",350,345,315,245,"25"," "
"1999/00","N495H","Total","d",350,345,315,245,"25"," "
"1999/00","N496H","SMR01"," ",0,0,0,0,"",":"
"1999/00","N496H","SMR04"," ",0,5,0,5,"5"," "
"1999/00","N496H","Total","d",0,5,0,5,"5"," "
"1999/00","R101H","SMR01"," ",40,45,40,40,"",":"
"1999/00","R101H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","R101H","Total","d",40,45,40,40,"0"," "
"1999/00","R102H","SMR01"," ",15,15,15,10,"",":"
"1999/00","R102H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","R102H","Total","d",15,15,15,10,"0"," "
"1999/00","S102H","SMR01"," ",5,5,5,5,"",":"
"1999/00","S102H","SMR04"," ",0,0,0,0,"5"," "
"1999/00","S102H","Total","d",5,5,5,5,"5"," "
"1999/00","S107H","SMR01"," ",0,0,0,0,"",":"
"1999/00","S107H","SMR04"," ",65,65,65,40,"15"," "
"1999/00","S107H","Total","d",65,65,65,40,"15"," "
"1999/00","S107V","SMR01"," ",0,0,0,0,"",":"
"1999/00","S107V","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S107V","Total","d",0,0,0,0,"0"," "
"1999/00","S108H","SMR01"," ",5,5,5,5,"",":"
"1999/00","S108H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S108H","Total","d",5,5,5,5,"0"," "
"1999/00","S109H","SMR01"," ",0,0,0,0,"",":"
"1999/00","S109H","SMR04"," ",405,425,395,330,"50"," "
"1999/00","S109H","Total","d",405,425,395,330,"50"," "
"1999/00","S113H","SMR01"," ",20,20,20,20,"",":"
"1999/00","S113H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S113H","Total","d",20,20,20,20,"0"," "
"1999/00","S114H","SMR01"," ",90,80,80,75,"",":"
"1999/00","S114H","SMR04"," ",305,310,285,170,"35"," "
"1999/00","S114H","Total","d",395,385,365,240,"35"," "
"1999/00","S116H","SMR01"," ",225,225,220,195,"",":"
"1999/00","S116H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S116H","Total","d",225,225,220,195,"0"," "
"1999/00","S116V","SMR01"," ",0,0,0,0,"",":"
"1999/00","S116V","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S116V","Total","d",0,0,0,0,"0"," "
"1999/00","S122V","SMR01"," ",0,0,0,0,"",":"
"1999/00","S122V","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S122V","Total","d",0,0,0,0,"0"," "
"1999/00","S146V","SMR01"," ",0,0,0,0,"",":"
"1999/00","S146V","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S146V","Total","d",0,0,0,0,"0"," "
"1999/00","S148V","SMR01"," ",0,0,0,0,"",":"
"1999/00","S148V","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S148V","Total","d",0,0,0,0,"0"," "
"1999/00","S153V","SMR01"," ",0,0,0,0,"",":"
"1999/00","S153V","SMR04"," ",10,10,10,10,"15"," "
"1999/00","S153V","Total","d",10,10,10,10,"15"," "
"1999/00","S201H","SMR01"," ",0,0,0,0,"",":"
"1999/00","S201H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S201H","Total","d",0,0,0,0,"0"," "
"1999/00","S204H","SMR01"," ",15,15,15,15,"",":"
"1999/00","S204H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S204H","Total","d",15,15,15,15,"0"," "
"1999/00","S206H","SMR01"," ",0,0,0,0,"",":"
"1999/00","S206H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S206H","Total","d",0,0,0,0,"0"," "
"1999/00","S209H","SMR01"," ",70,75,75,70,"",":"
"1999/00","S209H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S209H","Total","d",70,75,75,70,"0"," "
"1999/00","S210H","SMR01"," ",0,0,0,0,"",":"
"1999/00","S210H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S210H","Total","d",0,0,0,0,"0"," "
"1999/00","S214H","SMR01"," ",0,0,0,0,"",":"
"1999/00","S214H","SMR04"," ",470,470,450,315,"80"," "
"1999/00","S214H","Total","d",470,470,450,315,"80"," "
"1999/00","S217H","SMR01"," ",0,0,0,0,"",":"
"1999/00","S217H","SMR04"," ",2575,2660,2540,1895,"460"," "
"1999/00","S217H","Total","d",2575,2660,2540,1895,"460"," "
"1999/00","S225H","SMR01"," ",80,85,80,80,"",":"
"1999/00","S225H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S225H","Total","d",80,85,80,80,"0"," "
"1999/00","S226H","SMR01"," ",405,405,315,305,"",":"
"1999/00","S226H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S226H","Total","d",405,405,315,305,"0"," "
"1999/00","S302H","SMR01"," ",0,0,0,0,"",":"
"1999/00","S302H","SMR04"," ",305,345,115,210,"145"," "
"1999/00","S302H","Total","d",305,345,115,210,"145"," "
"1999/00","S308H","SMR01"," ",240,240,215,200,"",":"
"1999/00","S308H","SMR04"," ",1020,1000,885,640,"95"," "
"1999/00","S308H","Total","d",1255,1240,1095,815,"95"," "
"1999/00","S310H","SMR01"," ",0,0,0,0,"",":"
"1999/00","S310H","SMR04"," ",10,10,10,10,"30"," "
"1999/00","S310H","Total","d",10,10,10,10,"30"," "
"1999/00","S313H","SMR01"," ",0,0,0,0,"",":"
"1999/00","S313H","SMR04"," ",30,0,0,0,"30"," "
"1999/00","S313H","Total","d",30,0,0,0,"30"," "
"1999/00","T101H","SMR01"," ",275,275,270,260,"",":"
"1999/00","T101H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","T101H","Total","d",275,275,270,260,"0"," "
"1999/00","T104H","SMR01"," ",20,20,15,15,"",":"
"1999/00","T104H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","T104H","Total","d",20,20,15,15,"0"," "
"1999/00","T105H","SMR01"," ",0,0,0,0,"",":"
"1999/00","T105H","SMR04"," ",30,40,40,25,"20"," "
"1999/00","T105H","Total","d",35,40,40,30,"20"," "
"1999/00","T107H","SMR01"," ",35,40,40,40,"",":"
"1999/00","T107H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","T107H","Total","d",35,40,40,40,"0"," "
"1999/00","T114H","SMR01"," ",0,0,0,0,"",":"
"1999/00","T114H","SMR04"," ",1030,1060,1030,770,"225"," "
"1999/00","T114H","Total","d",1030,1060,1030,770,"225"," "
"1999/00","T122H","SMR01"," ",0,0,0,0,"",":"
"1999/00","T122H","SMR04"," ",35,30,30,25,"5"," "
"1999/00","T122H","Total","d",35,30,30,25,"5"," "
"1999/00","T202H","SMR01"," ",110,110,100,85,"",":"
"1999/00","T202H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","T202H","Total","d",110,110,100,85,"0"," "
"1999/00","T205H","SMR01"," ",5,10,10,10,"",":"
"1999/00","T205H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","T205H","Total","d",5,10,10,10,"0"," "
"1999/00","T207H","SMR01"," ",10,10,10,5,"",":"
"1999/00","T207H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","T207H","Total","d",10,10,10,5,"0"," "
"1999/00","T208H","SMR01"," ",10,10,10,10,"",":"
"1999/00","T208H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","T208H","Total","d",10,10,10,10,"0"," "
"1999/00","T209H","SMR01"," ",10,10,10,10,"",":"
"1999/00","T209H","SMR04"," ",15,10,10,10,"5"," "
"1999/00","T209H","Total","d",25,20,20,20,"5"," "
"1999/00","T215H","SMR01"," ",0,0,0,0,"",":"
"1999/00","T215H","SMR04"," ",880,890,705,615,"175"," "
"1999/00","T215H","Total","d",880,890,705,615,"175"," "
"1999/00","T304H","SMR01"," ",10,10,10,10,"",":"
"1999/00","T304H","SMR04"," ",15,15,15,10,"25"," "
"1999/00","T304H","Total","d",30,25,25,20,"25"," "
"1999/00","T305H","SMR01"," ",35,35,35,20,"",":"
"1999/00","T305H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","T305H","Total","d",35,35,35,20,"0"," "
"1999/00","T307H","SMR01"," ",20,20,20,20,"",":"
"1999/00","T307H","SMR04"," ",15,10,10,10,"20"," "
"1999/00","T307H","Total","d",35,30,30,30,"20"," "
"1999/00","T310H","SMR01"," ",5,5,5,5,"",":"
"1999/00","T310H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","T310H","Total","d",5,5,5,5,"0"," "
"1999/00","T311H","SMR01"," ",0,0,0,0,"",":"
"1999/00","T311H","SMR04"," ",630,645,605,525,"150"," "
"1999/00","T311H","Total","d",630,645,605,525,"150"," "
"1999/00","T312H","SMR01"," ",110,105,90,85,"",":"
"1999/00","T312H","SMR04"," ",10,10,10,10,"15"," "
"1999/00","T312H","Total","d",120,115,100,95,"15"," "
"1999/00","T315S","SMR01"," ",0,0,0,0,"",":"
"1999/00","T315S","SMR04"," ",0,0,0,0,"0"," "
"1999/00","T315S","Total","d",0,0,0,0,"0"," "
"1999/00","T316H","SMR01"," ",10,10,10,10,"",":"
"1999/00","T316H","SMR04"," ",10,10,5,10,"5"," "
"1999/00","T316H","Total","d",15,20,15,20,"5"," "
"1999/00","V102H","SMR01"," ",165,160,140,120,"",":"
"1999/00","V102H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","V102H","Total","d",165,160,140,120,"0"," "
"1999/00","V106H","SMR01"," ",0,0,0,0,"",":"
"1999/00","V106H","SMR04"," ",20,45,15,40,"95"," "
"1999/00","V106H","Total","d",20,45,15,40,"95"," "
"1999/00","V107H","SMR01"," ",0,0,0,0,"",":"
"1999/00","V107H","SMR04"," ",50,40,40,30,"35"," "
"1999/00","V107H","Total","d",50,40,40,30,"35"," "
"1999/00","V112H","SMR01"," ",0,0,0,0,"",":"
"1999/00","V112H","SMR04"," ",20,20,15,15,"10"," "
"1999/00","V112H","Total","d",20,20,15,15,"10"," "
"1999/00","V113H","SMR01"," ",0,0,0,0,"",":"
"1999/00","V113H","SMR04"," ",515,515,450,405,"60"," "
"1999/00","V113H","Total","d",515,515,450,405,"60"," "
"1999/00","V201H","SMR01"," ",170,170,170,155,"",":"
"1999/00","V201H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","V201H","Total","d",170,170,170,155,"0"," "
"1999/00","V202H","SMR01"," ",0,0,0,0,"",":"
"1999/00","V202H","SMR04"," ",140,135,135,100,"50"," "
"1999/00","V202H","Total","d",140,135,135,100,"50"," "
"1999/00","V204H","SMR01"," ",0,0,0,0,"",":"
"1999/00","V204H","SMR04"," ",190,200,165,160,"25"," "
"1999/00","V204H","Total","d",190,200,165,160,"25"," "
"1999/00","V209H","SMR01"," ",0,0,0,0,"",":"
"1999/00","V209H","SMR04"," ",5,10,10,10,"0"," "
"1999/00","V209H","Total","d",5,10,10,10,"0"," "
"1999/00","V211H","SMR01"," ",0,0,0,0,"",":"
"1999/00","V211H","SMR04"," ",250,250,230,195,"25"," "
"1999/00","V211H","Total","d",250,250,230,195,"25"," "
"1999/00","W103H","SMR01"," ",60,60,60,40,"",":"
"1999/00","W103H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","W103H","Total","d",60,60,60,40,"0"," "
"1999/00","W104H","SMR01"," ",5,5,5,5,"",":"
"1999/00","W104H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","W104H","Total","d",5,5,5,5,"0"," "
"1999/00","W106H","SMR01"," ",10,10,10,5,"",":"
"1999/00","W106H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","W106H","Total","d",10,10,10,5,"0"," "
"1999/00","W107H","SMR01"," ",85,85,80,65,"",":"
"1999/00","W107H","SMR04"," ",175,180,170,110,"35"," "
"1999/00","W107H","Total","d",260,265,250,170,"35"," "
"1999/00","Y101H","SMR01"," ",5,5,5,5,"",":"
"1999/00","Y101H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","Y101H","Total","d",5,5,5,5,"0"," "
"1999/00","Y103H","SMR01"," ",0,0,0,0,"",":"
"1999/00","Y103H","SMR04"," ",645,665,620,505,"145"," "
"1999/00","Y103H","Total","d",645,665,620,505,"145"," "
"1999/00","Y104H","SMR01"," ",160,165,140,130,"",":"
"1999/00","Y104H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","Y104H","Total","d",160,165,140,130,"0"," "
"1999/00","Y106H","SMR01"," ",5,5,5,5,"",":"
"1999/00","Y106H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","Y106H","Total","d",5,5,5,5,"0"," "
"1999/00","Y107H","SMR01"," ",0,0,0,0,"",":"
"1999/00","Y107H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","Y107H","Total","d",0,0,0,0,"0"," "
"1999/00","Y108H","SMR01"," ",0,0,0,0,"",":"
"1999/00","Y108H","SMR04"," ",0,5,5,5,"0"," "
"1999/00","Y108H","Total","d",0,5,5,5,"0"," "
"1999/00","Y109H","SMR01"," ",5,5,5,5,"",":"
"1999/00","Y109H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","Y109H","Total","d",5,5,5,5,"0"," "
"1999/00","Y110H","SMR01"," ",5,5,5,5,"",":"
"1999/00","Y110H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","Y110H","Total","d",5,5,5,5,"0"," "
"1999/00","Y111H","SMR01"," ",65,65,60,50,"",":"
"1999/00","Y111H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","Y111H","Total","d",65,65,60,50,"0"," "
"1999/00","Y129H","SMR01"," ",0,0,0,0,"",":"
"1999/00","Y129H","SMR04"," ",30,25,25,20,"15"," "
"1999/00","Y129H","Total","d",30,25,25,20,"15"," "
"1999/00","Y130H","SMR01"," ",0,0,0,0,"",":"
"1999/00","Y130H","SMR04"," ",10,10,10,5,"10"," "
"1999/00","Y130H","Total","d",10,10,10,5,"10"," "
"1999/00","Y131H","SMR01"," ",0,0,0,0,"",":"
"1999/00","Y131H","SMR04"," ",35,40,40,35,"5"," "
"1999/00","Y131H","Total","d",35,40,40,35,"5"," "
"1999/00","Y134H","SMR01"," ",0,0,0,0,"",":"
"1999/00","Y134H","SMR04"," ",5,5,5,5,"15"," "
"1999/00","Y134H","Total","d",5,5,5,5,"15"," "
"1999/00","Z102H","SMR01"," ",95,95,95,75,"",":"
"1999/00","Z102H","SMR04"," ",0,0,0,0,"0"," "
"1999/00","Z102H","Total","d",95,95,95,75,"0"," "
"2000/01","A101H","SMR01"," ",35,30,30,25,"",":"
"2000/01","A101H","SMR04"," ",0,0,0,0,"0"," "
"2000/01","A101H","Total","d",35,30,30,25,"0"," "
"2000/01","A103H","SMR01"," ",5,10,10,10,"",":"
"2000/01","A103H","SMR04"," ",320,320,275,175,"25"," "
"2000/01","A103H","Total","d",325,330,285,185,"25"," "
"2000/01","A110H","SMR01"," ",15,15,15,15,"",":"
"2000/01","A110H","SMR04"," ",0,0,0,0,"0"," "
"2000/01","A110H","Total","d",15,15,15,15,"0"," "
"2000/01","A111H","SMR01"," ",305,300,285,250,"",":"
"2000/01","A111H","SMR04"," ",645,650,615,535,"50"," "
"2000/01","A111H","Total","d",955,950,900,770,"50"," "
"2000/01","A143V","SMR01"," ",0,0,0,0,"",":"
"2000/01","A143V","SMR04"," ",5,10,10,10,"25"," "
"2000/01","A143V","Total","d",5,10,10,10,"25"," "
"2000/01","A201H","SMR01"," ",0,0,0,0,"",":"
"2000/01","A201H","SMR04"," ",1245,1255,1175,940,"245"," "
"2000/01","A201H","Total","d",1245,1255,1175,940,"245"," "
"2000/01","A207H","SMR01"," ",60,65,65,50,"",":"
"2000/01","A207H","SMR04"," ",0,0,0,0,"0"," "
"2000/01","A207H","Total","d",60,65,65,50,"0"," "
"2000/01","A208H","SMR01"," ",10,5,5,5,"",":"
"2000/01","A208H","SMR04"," ",0,0,0,0,"0"," "
"2000/01","A208H","Total","d",10,5,5,5,"0"," "
"2000/01","A209H","SMR01"," ",0,0,0,0,"",":"
"2000/01","A209H","SMR04"," ",0,0,0,0,"0"," "
"2000/01","A209H","Total","d",0,0,0,0,"0"," "
"2000/01","A210H","SMR01"," ",320,320,305,265,"",":"
"2000/01","A210H","SMR04"," ",0,0,0,0,"0"," "
"2000/01","A210H","Total","d",320,320,305,265,"0"," "
"2000/01","A215H","SMR01"," ",15,15,15,10,"",":"
"2000/01","A215H","SMR04"," ",80,65,65,35,"15"," "
"2000/01","A215H","Total","d",95,80,75,50,"15"," "
"2000/01","A240V","SMR01"," ",0,0,0,0,"",":"
"2000/01","A240V","SMR04"," ",25,50,50,50,"60"," "
"2000/01","A240V","Total","d",25,50,50,50,"60"," "
"2000/01","B102H","SMR01"," ",5,5,5,5,"",":"
"2000/01","B102H","SMR04"," ",0,0,0,0,"0"," "
"2000/01","B102H","Total","d",5,5,5,5,"0"," "
"2000/01","B103H","SMR01"," ",0,5,5,5,"",":"
"2000/01","B103H","SMR04"," ",0,0,0,0,"0"," "
"2000/01","B103H","Total","d",0,5,5,5,"0"," "
"2000/01","B104H","SMR01"," ",0,0,0,0,"",":"
"2000/01","B104H","SMR04"," ",15,15,15,10,"15"," "
"2000/01","B104H","Total","d",15,15,15,10,"15"," "
"2000/01","B105H","SMR01"," ",5,5,5,5,"",":"
"2000/01","B105H","SMR04"," ",0,0,0,0,"0"," "
"2000/01","B105H","Total","d",5,5,5,5,"0"," "
"2000/01","B109H","SMR01"," ",0,0,0,0,"",":"
"2000/01","B109H","SMR04"," ",0,0,0,0,"0"," "
"2000/01","B109H","Total","d",0,0,0,0,"0"," "
"2000/01","B114H","SMR01"," ",10,10,10,10,"",":"
"2000/01","B114H","SMR04"," ",20,15,15,15,"20"," "
"2000/01","B114H","Total","d",30,30,25,20,"20"," "
"2000/01","B117H","SMR01"," ",0,0,0,0,"",":"
"2000/01","B117H","SMR04"," ",80,80,70,40,"15"," "
"2000/01","B117H","Total","d",80,80,70,40,"15"," "
"2000/01","B118H","SMR01"," ",0,0,0,0,"",":"
"2000/01","B118H","SMR04"," ",0,0,0,0,"0"," "
"2000/01","B118H","Total","d",0,0,0,0,"0"," "
