"FinancialYear","HBT","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"2006/07","S08000015","Total","d",2545,2560,2355,1835,"330"," "
"2006/07","S08000015","SMR01"," ",800,805,770,660,"",":"
"2006/07","S08000015","SMR04"," ",1745,1760,1585,1250,"330"," "
"2006/07","S08000016","Total","d",1135,1140,1005,675,"110"," "
"2006/07","S08000016","SMR01"," ",330,335,300,265,"",":"
"2006/07","S08000016","SMR04"," ",805,805,705,435,"110"," "
"2006/07","S08000017","Total","d",850,870,785,655,"120"," "
"2006/07","S08000017","SMR01"," ",235,230,200,190,"",":"
"2006/07","S08000017","SMR04"," ",615,640,585,490,"120"," "
"2006/07","S08000029","Total","d",2050,2035,1750,1365,"330"," "
"2006/07","S08000029","SMR01"," ",415,405,315,290,"",":"
"2006/07","S08000029","SMR04"," ",1635,1630,1435,1120,"330"," "
"2006/07","S08000019","Total","d",1450,1465,1175,990,"235"," "
"2006/07","S08000019","SMR01"," ",285,280,220,200,"",":"
"2006/07","S08000019","SMR04"," ",1165,1185,955,810,"235"," "
"2006/07","S08000020","Total","d",2720,2765,2495,2055,"405"," "
"2006/07","S08000020","SMR01"," ",735,745,700,605,"",":"
"2006/07","S08000020","SMR04"," ",1985,2015,1795,1520,"405"," "
"2006/07","S08000031","Total","d",9765,9790,8415,6760,"1390"," "
"2006/07","S08000031","SMR01"," ",3505,3500,2825,2480,"",":"
"2006/07","S08000031","SMR04"," ",6260,6295,5590,4515,"1390"," "
"2006/07","S08000022","Total","d",2545,2550,2275,1720,"260"," "
"2006/07","S08000022","SMR01"," ",1140,1140,945,755,"",":"
"2006/07","S08000022","SMR04"," ",1405,1410,1330,1080,"260"," "
"2006/07","S08000032","Total","d",3815,3870,3180,2485,"460"," "
"2006/07","S08000032","SMR01"," ",1170,1175,885,735,"",":"
"2006/07","S08000032","SMR04"," ",2640,2695,2295,1855,"460"," "
"2006/07","S08000024","Total","d",5850,5865,4940,3825,"710"," "
"2006/07","S08000024","SMR01"," ",1735,1730,1315,1180,"",":"
"2006/07","S08000024","SMR04"," ",4115,4135,3625,2800,"710"," "
"2006/07","S08000025","Total","d",55,50,50,40,"0"," "
"2006/07","S08000025","SMR01"," ",55,50,50,40,"",":"
"2006/07","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2006/07","S08000026","Total","d",75,75,75,60,"0"," "
"2006/07","S08000026","SMR01"," ",75,75,75,60,"",":"
"2006/07","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2006/07","S08000030","Total","d",2435,2440,2260,1815,"385"," "
"2006/07","S08000030","SMR01"," ",430,430,410,385,"",":"
"2006/07","S08000030","SMR04"," ",2005,2010,1850,1485,"385"," "
"2006/07","S08000028","Total","d",340,345,330,245,"30"," "
"2006/07","S08000028","SMR01"," ",230,230,225,170,"",":"
"2006/07","S08000028","SMR04"," ",110,115,100,85,"30"," "
"2006/07","SB0802","Total","d",125,140,25,110,"195"," "
"2006/07","SB0802","SMR01"," ",0,0,0,0,"",":"
"2006/07","SB0802","SMR04"," ",125,140,25,110,"195"," "
"2007/08","S08000015","Total","d",2600,2625,2385,1850,"300"," "
"2007/08","S08000015","SMR01"," ",870,865,820,690,"",":"
"2007/08","S08000015","SMR04"," ",1730,1760,1570,1240,"300"," "
"2007/08","S08000016","Total","d",1000,1015,915,645,"90"," "
"2007/08","S08000016","SMR01"," ",300,295,255,225,"",":"
"2007/08","S08000016","SMR04"," ",700,720,660,440,"90"," "
"2007/08","S08000017","Total","d",920,920,825,675,"110"," "
"2007/08","S08000017","SMR01"," ",310,305,250,225,"",":"
"2007/08","S08000017","SMR04"," ",610,620,580,475,"110"," "
"2007/08","S08000029","Total","d",2115,2155,1775,1405,"295"," "
"2007/08","S08000029","SMR01"," ",585,590,410,380,"",":"
"2007/08","S08000029","SMR04"," ",1530,1565,1365,1070,"295"," "
"2007/08","S08000019","Total","d",1440,1450,1180,975,"225"," "
"2007/08","S08000019","SMR01"," ",300,295,235,220,"",":"
"2007/08","S08000019","SMR04"," ",1140,1155,945,775,"225"," "
"2007/08","S08000020","Total","d",2795,2835,2540,2010,"360"," "
"2007/08","S08000020","SMR01"," ",900,895,805,675,"",":"
"2007/08","S08000020","SMR04"," ",1895,1940,1735,1400,"360"," "
"2007/08","S08000031","Total","d",9905,10010,8620,6795,"1280"," "
"2007/08","S08000031","SMR01"," ",3790,3790,2985,2515,"",":"
"2007/08","S08000031","SMR04"," ",6115,6225,5635,4510,"1280"," "
"2007/08","S08000022","Total","d",2540,2555,2310,1815,"245"," "
"2007/08","S08000022","SMR01"," ",1180,1180,990,795,"",":"
"2007/08","S08000022","SMR04"," ",1360,1380,1320,1105,"245"," "
"2007/08","S08000032","Total","d",4045,4040,3245,2495,"455"," "
"2007/08","S08000032","SMR01"," ",1600,1590,1150,905,"",":"
"2007/08","S08000032","SMR04"," ",2450,2450,2090,1685,"455"," "
"2007/08","S08000024","Total","d",5830,5835,4915,3895,"695"," "
"2007/08","S08000024","SMR01"," ",1960,1955,1505,1320,"",":"
"2007/08","S08000024","SMR04"," ",3870,3880,3410,2740,"695"," "
"2007/08","S08000025","Total","d",55,60,60,55,"0"," "
"2007/08","S08000025","SMR01"," ",55,60,60,55,"",":"
"2007/08","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2007/08","S08000026","Total","d",75,75,75,55,"0"," "
"2007/08","S08000026","SMR01"," ",75,75,75,55,"",":"
"2007/08","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2007/08","S08000030","Total","d",2610,2640,2470,1960,"360"," "
"2007/08","S08000030","SMR01"," ",505,510,495,445,"",":"
"2007/08","S08000030","SMR04"," ",2100,2125,1975,1570,"360"," "
"2007/08","S08000028","Total","d",250,255,245,200,"20"," "
"2007/08","S08000028","SMR01"," ",160,155,150,125,"",":"
"2007/08","S08000028","SMR04"," ",90,100,95,80,"20"," "
"2007/08","SB0802","Total","d",100,125,30,110,"175"," "
"2007/08","SB0802","SMR01"," ",0,0,0,0,"",":"
"2007/08","SB0802","SMR04"," ",100,125,30,110,"175"," "
"2008/09","S08000015","Total","d",2425,2455,2235,1730,"265"," "
"2008/09","S08000015","SMR01"," ",815,815,775,635,"",":"
"2008/09","S08000015","SMR04"," ",1610,1640,1460,1200,"265"," "
"2008/09","S08000016","Total","d",970,965,880,655,"95"," "
"2008/09","S08000016","SMR01"," ",300,300,280,235,"",":"
"2008/09","S08000016","SMR04"," ",670,665,605,440,"95"," "
"2008/09","S08000017","Total","d",875,890,795,650,"100"," "
"2008/09","S08000017","SMR01"," ",280,295,240,220,"",":"
"2008/09","S08000017","SMR04"," ",590,595,555,460,"100"," "
"2008/09","S08000029","Total","d",2060,2085,1760,1395,"275"," "
"2008/09","S08000029","SMR01"," ",595,595,405,370,"",":"
"2008/09","S08000029","SMR04"," ",1470,1490,1355,1065,"275"," "
"2008/09","S08000019","Total","d",1460,1465,1290,1035,"220"," "
"2008/09","S08000019","SMR01"," ",320,330,265,245,"",":"
"2008/09","S08000019","SMR04"," ",1140,1140,1025,820,"220"," "
"2008/09","S08000020","Total","d",2795,2845,2570,2085,"310"," "
"2008/09","S08000020","SMR01"," ",925,920,825,690,"",":"
"2008/09","S08000020","SMR04"," ",1870,1920,1745,1440,"310"," "
"2008/09","S08000031","Total","d",10350,10475,8985,7020,"1175"," "
"2008/09","S08000031","SMR01"," ",4005,4030,3150,2570,"",":"
"2008/09","S08000031","SMR04"," ",6345,6445,5830,4735,"1175"," "
"2008/09","S08000022","Total","d",2510,2530,2310,1805,"235"," "
"2008/09","S08000022","SMR01"," ",1170,1180,1000,850,"",":"
"2008/09","S08000022","SMR04"," ",1345,1355,1310,1075,"235"," "
"2008/09","S08000032","Total","d",4075,4110,3355,2615,"430"," "
"2008/09","S08000032","SMR01"," ",1645,1655,1175,910,"",":"
"2008/09","S08000032","SMR04"," ",2430,2455,2175,1810,"430"," "
"2008/09","S08000024","Total","d",5525,5560,4660,3735,"665"," "
"2008/09","S08000024","SMR01"," ",1960,1965,1430,1280,"",":"
"2008/09","S08000024","SMR04"," ",3565,3590,3230,2620,"665"," "
"2008/09","S08000025","Total","d",55,55,50,45,"0"," "
"2008/09","S08000025","SMR01"," ",55,55,50,45,"",":"
"2008/09","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2008/09","S08000026","Total","d",60,60,60,50,"0"," "
"2008/09","S08000026","SMR01"," ",60,60,60,50,"",":"
"2008/09","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2008/09","S08000030","Total","d",2695,2710,2520,2035,"345"," "
"2008/09","S08000030","SMR01"," ",535,535,490,450,"",":"
"2008/09","S08000030","SMR04"," ",2160,2175,2030,1650,"345"," "
"2008/09","S08000028","Total","d",240,235,225,175,"30"," "
"2008/09","S08000028","SMR01"," ",140,140,140,110,"",":"
"2008/09","S08000028","SMR04"," ",100,90,85,75,"30"," "
"2008/09","SB0802","Total","d",115,135,30,95,"155"," "
"2008/09","SB0802","SMR01"," ",0,0,0,0,"",":"
"2008/09","SB0802","SMR04"," ",115,135,30,95,"155"," "
"2009/10","S08000015","Total","d",2530,2525,2250,1730,"270"," "
"2009/10","S08000015","SMR01"," ",895,890,830,655,"",":"
"2009/10","S08000015","SMR04"," ",1635,1630,1420,1180,"270"," "
"2009/10","S08000016","Total","d",815,825,745,560,"85"," "
"2009/10","S08000016","SMR01"," ",255,255,225,195,"",":"
"2009/10","S08000016","SMR04"," ",565,570,520,390,"85"," "
"2009/10","S08000017","Total","d",900,905,800,645,"90"," "
"2009/10","S08000017","SMR01"," ",245,240,190,180,"",":"
"2009/10","S08000017","SMR04"," ",655,665,610,485,"90"," "
"2009/10","S08000029","Total","d",2210,2190,1770,1465,"290"," "
"2009/10","S08000029","SMR01"," ",650,640,425,400,"",":"
"2009/10","S08000029","SMR04"," ",1565,1550,1345,1110,"290"," "
"2009/10","S08000019","Total","d",1370,1395,1210,1000,"200"," "
"2009/10","S08000019","SMR01"," ",310,310,250,220,"",":"
"2009/10","S08000019","SMR04"," ",1065,1085,960,805,"200"," "
"2009/10","S08000020","Total","d",2855,2865,2535,1995,"300"," "
"2009/10","S08000020","SMR01"," ",1040,1045,835,695,"",":"
"2009/10","S08000020","SMR04"," ",1815,1825,1700,1360,"300"," "
"2009/10","S08000031","Total","d",9455,9515,8105,6430,"1110"," "
"2009/10","S08000031","SMR01"," ",3845,3835,3105,2550,"",":"
"2009/10","S08000031","SMR04"," ",5615,5680,5000,4125,"1110"," "
"2009/10","S08000022","Total","d",2205,2180,1965,1575,"250"," "
"2009/10","S08000022","SMR01"," ",990,980,815,670,"",":"
"2009/10","S08000022","SMR04"," ",1220,1200,1150,990,"250"," "
"2009/10","S08000032","Total","d",3870,3895,3110,2580,"400"," "
"2009/10","S08000032","SMR01"," ",1535,1535,1045,875,"",":"
"2009/10","S08000032","SMR04"," ",2330,2360,2065,1770,"400"," "
"2009/10","S08000024","Total","d",5330,5335,4420,3550,"660"," "
"2009/10","S08000024","SMR01"," ",2010,2005,1445,1305,"",":"
"2009/10","S08000024","SMR04"," ",3320,3330,2975,2410,"660"," "
"2009/10","S08000025","Total","d",55,55,55,50,"0"," "
"2009/10","S08000025","SMR01"," ",55,55,55,50,"",":"
"2009/10","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2009/10","S08000026","Total","d",50,50,50,50,"0"," "
"2009/10","S08000026","SMR01"," ",50,50,50,50,"",":"
"2009/10","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2009/10","S08000030","Total","d",2650,2665,2470,2030,"340"," "
"2009/10","S08000030","SMR01"," ",490,495,480,435,"",":"
"2009/10","S08000030","SMR04"," ",2160,2170,1995,1645,"340"," "
"2009/10","S08000028","Total","d",200,205,190,155,"25"," "
"2009/10","S08000028","SMR01"," ",135,135,130,110,"",":"
"2009/10","S08000028","SMR04"," ",60,70,60,55,"25"," "
"2009/10","SB0802","Total","d",140,155,10,105,"135"," "
"2009/10","SB0802","SMR01"," ",0,0,0,0,"",":"
"2009/10","SB0802","SMR04"," ",140,155,10,105,"135"," "
"2010/11","S08000015","Total","d",2615,2605,2275,1810,"280"," "
"2010/11","S08000015","SMR01"," ",965,965,875,715,"",":"
"2010/11","S08000015","SMR04"," ",1645,1640,1400,1200,"280"," "
"2010/11","S08000016","Total","d",855,865,770,590,"80"," "
"2010/11","S08000016","SMR01"," ",300,305,275,230,"",":"
"2010/11","S08000016","SMR04"," ",555,560,500,380,"80"," "
"2010/11","S08000017","Total","d",1065,1075,955,690,"85"," "
"2010/11","S08000017","SMR01"," ",330,330,255,220,"",":"
"2010/11","S08000017","SMR04"," ",740,745,700,510,"85"," "
"2010/11","S08000029","Total","d",2145,2170,1645,1405,"275"," "
"2010/11","S08000029","SMR01"," ",695,705,455,410,"",":"
"2010/11","S08000029","SMR04"," ",1450,1465,1185,1025,"275"," "
"2010/11","S08000019","Total","d",1385,1400,1150,960,"190"," "
"2010/11","S08000019","SMR01"," ",245,245,180,160,"",":"
"2010/11","S08000019","SMR04"," ",1140,1155,970,815,"190"," "
"2010/11","S08000020","Total","d",3205,3215,2630,2035,"295"," "
"2010/11","S08000020","SMR01"," ",1260,1265,820,700,"",":"
"2010/11","S08000020","SMR04"," ",1945,1950,1810,1400,"295"," "
"2010/11","S08000031","Total","d",9465,9425,7580,6050,"1145"," "
"2010/11","S08000031","SMR01"," ",4380,4365,3290,2645,"",":"
"2010/11","S08000031","SMR04"," ",5090,5055,4290,3660,"1145"," "
"2010/11","S08000022","Total","d",2110,2175,2005,1610,"205"," "
"2010/11","S08000022","SMR01"," ",875,890,760,650,"",":"
"2010/11","S08000022","SMR04"," ",1240,1280,1245,1045,"205"," "
"2010/11","S08000032","Total","d",4010,4055,3310,2690,"360"," "
"2010/11","S08000032","SMR01"," ",1655,1660,1185,1000,"",":"
"2010/11","S08000032","SMR04"," ",2355,2395,2125,1780,"360"," "
"2010/11","S08000024","Total","d",5340,5365,4355,3625,"630"," "
"2010/11","S08000024","SMR01"," ",2260,2250,1540,1410,"",":"
"2010/11","S08000024","SMR04"," ",3080,3115,2815,2400,"630"," "
"2010/11","S08000025","Total","d",65,65,60,50,"0"," "
"2010/11","S08000025","SMR01"," ",65,65,60,50,"",":"
"2010/11","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2010/11","S08000026","Total","d",70,75,75,60,"0"," "
"2010/11","S08000026","SMR01"," ",70,75,75,60,"",":"
"2010/11","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2010/11","S08000030","Total","d",2400,2440,2195,1815,"300"," "
"2010/11","S08000030","SMR01"," ",515,515,450,430,"",":"
"2010/11","S08000030","SMR04"," ",1885,1920,1745,1440,"300"," "
"2010/11","S08000028","Total","d",160,160,145,115,"25"," "
"2010/11","S08000028","SMR01"," ",95,95,75,70,"",":"
"2010/11","S08000028","SMR04"," ",70,70,70,50,"25"," "
"2010/11","SB0802","Total","d",130,130,10,85,"135"," "
"2010/11","SB0802","SMR01"," ",0,0,0,0,"",":"
"2010/11","SB0802","SMR04"," ",130,130,10,85,"135"," "
"2011/12","S08000015","Total","d",2465,2505,2205,1730,"250"," "
"2011/12","S08000015","SMR01"," ",940,950,840,680,"",":"
"2011/12","S08000015","SMR04"," ",1525,1555,1365,1120,"250"," "
"2011/12","S08000016","Total","d",825,830,720,555,"75"," "
"2011/12","S08000016","SMR01"," ",280,280,250,220,"",":"
"2011/12","S08000016","SMR04"," ",545,550,470,360,"75"," "
"2011/12","S08000017","Total","d",1210,1225,1020,665,"65"," "
"2011/12","S08000017","SMR01"," ",470,465,395,250,"",":"
"2011/12","S08000017","SMR04"," ",735,755,625,475,"65"," "
"2011/12","S08000029","Total","d",2255,2275,1730,1425,"250"," "
"2011/12","S08000029","SMR01"," ",815,810,485,460,"",":"
"2011/12","S08000029","SMR04"," ",1440,1465,1240,1010,"250"," "
"2011/12","S08000019","Total","d",1360,1365,1135,990,"175"," "
"2011/12","S08000019","SMR01"," ",345,330,280,250,"",":"
"2011/12","S08000019","SMR04"," ",1020,1030,855,765,"175"," "
"2011/12","S08000020","Total","d",3405,3400,2715,2080,"285"," "
"2011/12","S08000020","SMR01"," ",1455,1445,895,730,"",":"
"2011/12","S08000020","SMR04"," ",1950,1955,1820,1415,"285"," "
"2011/12","S08000031","Total","d",9785,9850,7775,6235,"1100"," "
"2011/12","S08000031","SMR01"," ",4730,4755,3490,2750,"",":"
"2011/12","S08000031","SMR04"," ",5055,5095,4285,3695,"1100"," "
"2011/12","S08000022","Total","d",2095,2130,1905,1515,"170"," "
"2011/12","S08000022","SMR01"," ",900,900,730,605,"",":"
"2011/12","S08000022","SMR04"," ",1195,1230,1175,1000,"170"," "
"2011/12","S08000032","Total","d",4100,4100,3320,2700,"355"," "
"2011/12","S08000032","SMR01"," ",1775,1775,1235,1055,"",":"
"2011/12","S08000032","SMR04"," ",2325,2330,2085,1745,"355"," "
"2011/12","S08000024","Total","d",5735,5775,4645,3835,"605"," "
"2011/12","S08000024","SMR01"," ",2525,2540,1725,1550,"",":"
"2011/12","S08000024","SMR04"," ",3210,3235,2920,2480,"605"," "
"2011/12","S08000025","Total","d",60,60,60,50,"0"," "
"2011/12","S08000025","SMR01"," ",60,60,60,50,"",":"
"2011/12","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2011/12","S08000026","Total","d",90,90,90,65,"0"," "
"2011/12","S08000026","SMR01"," ",90,90,90,65,"",":"
"2011/12","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2011/12","S08000030","Total","d",2550,2565,2185,1825,"280"," "
"2011/12","S08000030","SMR01"," ",665,665,520,485,"",":"
"2011/12","S08000030","SMR04"," ",1880,1900,1665,1395,"280"," "
"2011/12","S08000028","Total","d",150,155,140,115,"20"," "
"2011/12","S08000028","SMR01"," ",90,95,80,70,"",":"
"2011/12","S08000028","SMR04"," ",60,65,60,55,"20"," "
"2011/12","SB0802","Total","d",275,275,5,145,"135"," "
"2011/12","SB0802","SMR01"," ",0,0,0,0,"",":"
"2011/12","SB0802","SMR04"," ",275,275,5,145,"135"," "
"2012/13","S08000015","Total","d",2230,2245,1985,1510,"225"," "
"2012/13","S08000015","SMR01"," ",925,920,800,635,"",":"
"2012/13","S08000015","SMR04"," ",1300,1325,1185,945,"225"," "
"2012/13","S08000016","Total","d",780,795,685,535,"65"," "
"2012/13","S08000016","SMR01"," ",275,275,240,210,"",":"
"2012/13","S08000016","SMR04"," ",510,525,445,345,"65"," "
"2012/13","S08000017","Total","d",1125,1125,975,625,"65"," "
"2012/13","S08000017","SMR01"," ",465,470,400,235,"",":"
"2012/13","S08000017","SMR04"," ",660,660,575,425,"65"," "
"2012/13","S08000029","Total","d",2375,2385,1880,1485,"235"," "
"2012/13","S08000029","SMR01"," ",1000,995,675,590,"",":"
"2012/13","S08000029","SMR04"," ",1375,1390,1210,955,"235"," "
"2012/13","S08000019","Total","d",1490,1495,1240,1060,"175"," "
"2012/13","S08000019","SMR01"," ",410,415,305,275,"",":"
"2012/13","S08000019","SMR04"," ",1080,1080,935,805,"175"," "
"2012/13","S08000020","Total","d",3380,3365,2695,2145,"320"," "
"2012/13","S08000020","SMR01"," ",1325,1335,865,730,"",":"
"2012/13","S08000020","SMR04"," ",2055,2025,1830,1485,"320"," "
"2012/13","S08000031","Total","d",9615,9665,7505,6130,"1060"," "
"2012/13","S08000031","SMR01"," ",4405,4415,3170,2540,"",":"
"2012/13","S08000031","SMR04"," ",5205,5250,4335,3825,"1060"," "
"2012/13","S08000022","Total","d",2105,2105,1865,1480,"170"," "
"2012/13","S08000022","SMR01"," ",890,890,695,595,"",":"
"2012/13","S08000022","SMR04"," ",1215,1215,1165,970,"170"," "
"2012/13","S08000032","Total","d",4155,4160,3355,2640,"345"," "
"2012/13","S08000032","SMR01"," ",1800,1790,1190,985,"",":"
"2012/13","S08000032","SMR04"," ",2355,2370,2165,1745,"345"," "
"2012/13","S08000024","Total","d",5895,5895,4660,3905,"585"," "
"2012/13","S08000024","SMR01"," ",2770,2750,1805,1645,"",":"
"2012/13","S08000024","SMR04"," ",3120,3145,2860,2425,"585"," "
"2012/13","S08000025","Total","d",60,60,60,55,"0"," "
"2012/13","S08000025","SMR01"," ",60,60,60,55,"",":"
"2012/13","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2012/13","S08000026","Total","d",85,85,85,70,"0"," "
"2012/13","S08000026","SMR01"," ",85,85,85,70,"",":"
"2012/13","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2012/13","S08000030","Total","d",2655,2620,2220,1820,"315"," "
"2012/13","S08000030","SMR01"," ",675,675,520,490,"",":"
"2012/13","S08000030","SMR04"," ",1980,1940,1700,1390,"315"," "
"2012/13","S08000028","Total","d",155,155,140,115,"20"," "
"2012/13","S08000028","SMR01"," ",95,95,80,70,"",":"
"2012/13","S08000028","SMR04"," ",60,60,60,50,"20"," "
"2012/13","SB0802","Total","d",110,115,10,80,"130"," "
"2012/13","SB0802","SMR01"," ",0,0,0,0,"",":"
"2012/13","SB0802","SMR04"," ",110,115,10,80,"130"," "
"2013/14","S08000015","Total","d",2265,2270,1875,1540,"205"," "
"2013/14","S08000015","SMR01"," ",955,945,755,620,"",":"
"2013/14","S08000015","SMR04"," ",1310,1330,1115,980,"205"," "
"2013/14","S08000016","Total","d",780,785,675,505,"60"," "
"2013/14","S08000016","SMR01"," ",300,300,250,220,"",":"
"2013/14","S08000016","SMR04"," ",485,485,425,320,"60"," "
"2013/14","S08000017","Total","d",1295,1290,1130,665,"70"," "
"2013/14","S08000017","SMR01"," ",625,630,540,305,"",":"
"2013/14","S08000017","SMR04"," ",665,660,585,410,"70"," "
"2013/14","S08000029","Total","d",2760,2750,2040,1615,"235"," "
"2013/14","S08000029","SMR01"," ",1305,1290,855,745,"",":"
"2013/14","S08000029","SMR04"," ",1455,1455,1185,940,"235"," "
"2013/14","S08000019","Total","d",1555,1565,1290,1060,"165"," "
"2013/14","S08000019","SMR01"," ",465,460,300,255,"",":"
"2013/14","S08000019","SMR04"," ",1090,1100,995,840,"165"," "
"2013/14","S08000020","Total","d",3295,3295,2745,2225,"315"," "
"2013/14","S08000020","SMR01"," ",1300,1295,955,825,"",":"
"2013/14","S08000020","SMR04"," ",1995,2000,1785,1470,"315"," "
"2013/14","S08000031","Total","d",10255,10240,7820,6270,"1060"," "
"2013/14","S08000031","SMR01"," ",4980,4965,3320,2665,"",":"
"2013/14","S08000031","SMR04"," ",5275,5275,4500,3855,"1060"," "
"2013/14","S08000022","Total","d",2170,2150,1850,1490,"170"," "
"2013/14","S08000022","SMR01"," ",905,900,695,590,"",":"
"2013/14","S08000022","SMR04"," ",1265,1250,1155,985,"170"," "
"2013/14","S08000032","Total","d",4310,4310,3060,2490,"340"," "
"2013/14","S08000032","SMR01"," ",2370,2370,1365,1130,"",":"
"2013/14","S08000032","SMR04"," ",1940,1940,1695,1455,"340"," "
"2013/14","S08000024","Total","d",5770,5800,4490,3770,"590"," "
"2013/14","S08000024","SMR01"," ",2435,2475,1670,1505,"",":"
"2013/14","S08000024","SMR04"," ",3335,3325,2820,2425,"590"," "
"2013/14","S08000025","Total","d",65,65,60,55,"0"," "
"2013/14","S08000025","SMR01"," ",65,65,60,55,"",":"
"2013/14","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2013/14","S08000026","Total","d",85,85,85,65,"0"," "
"2013/14","S08000026","SMR01"," ",85,85,85,65,"",":"
"2013/14","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2013/14","S08000030","Total","d",2775,2810,2365,1920,"290"," "
"2013/14","S08000030","SMR01"," ",815,820,630,560,"",":"
"2013/14","S08000030","SMR04"," ",1965,1990,1735,1420,"290"," "
"2013/14","S08000028","Total","d",150,145,125,110,"20"," "
"2013/14","S08000028","SMR01"," ",105,105,85,75,"",":"
"2013/14","S08000028","SMR04"," ",45,40,40,35,"20"," "
"2013/14","SB0802","Total","d",70,70,15,65,"130"," "
"2013/14","SB0802","SMR01"," ",0,0,0,0,"",":"
"2013/14","SB0802","SMR04"," ",70,70,15,65,"130"," "
"2014/15","S08000015","Total","d",2355,2355,1855,1490,"210"," "
"2014/15","S08000015","SMR01"," ",1090,1090,795,660,"",":"
"2014/15","S08000015","SMR04"," ",1270,1265,1060,890,"210"," "
"2014/15","S08000016","Total","d",745,750,595,480,"50"," "
"2014/15","S08000016","SMR01"," ",285,285,205,185,"",":"
"2014/15","S08000016","SMR04"," ",460,470,390,305,"50"," "
"2014/15","S08000017","Total","d",1295,1295,1090,635,"70"," "
"2014/15","S08000017","SMR01"," ",560,555,455,260,"",":"
"2014/15","S08000017","SMR04"," ",735,735,635,415,"70"," "
"2014/15","S08000029","Total","d",2550,2570,1880,1560,"215"," "
"2014/15","S08000029","SMR01"," ",1095,1105,755,675,"",":"
"2014/15","S08000029","SMR04"," ",1455,1465,1125,955,"215"," "
"2014/15","S08000019","Total","d",1765,1775,1370,1150,"165"," "
"2014/15","S08000019","SMR01"," ",570,580,405,345,"",":"
"2014/15","S08000019","SMR04"," ",1195,1195,965,830,"165"," "
"2014/15","S08000020","Total","d",2900,2910,2545,1975,"295"," "
"2014/15","S08000020","SMR01"," ",975,970,815,710,"",":"
"2014/15","S08000020","SMR04"," ",1925,1945,1725,1315,"295"," "
"2014/15","S08000031","Total","d",11095,11095,7915,6385,"1050"," "
"2014/15","S08000031","SMR01"," ",5670,5665,3370,2675,"",":"
"2014/15","S08000031","SMR04"," ",5425,5430,4545,3985,"1050"," "
"2014/15","S08000022","Total","d",2305,2310,1805,1480,"170"," "
"2014/15","S08000022","SMR01"," ",1110,1105,750,640,"",":"
"2014/15","S08000022","SMR04"," ",1195,1205,1060,910,"170"," "
"2014/15","S08000032","Total","d",4535,4545,3020,2505,"335"," "
"2014/15","S08000032","SMR01"," ",2780,2785,1535,1280,"",":"
"2014/15","S08000032","SMR04"," ",1755,1760,1485,1320,"335"," "
"2014/15","S08000024","Total","d",6310,6270,4585,3710,"620"," "
"2014/15","S08000024","SMR01"," ",2825,2810,1810,1600,"",":"
"2014/15","S08000024","SMR04"," ",3485,3455,2775,2270,"620"," "
"2014/15","S08000025","Total","d",80,80,70,60,"0"," "
"2014/15","S08000025","SMR01"," ",80,80,70,60,"",":"
"2014/15","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2014/15","S08000026","Total","d",85,85,85,60,"0"," "
"2014/15","S08000026","SMR01"," ",85,85,85,60,"",":"
"2014/15","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2014/15","S08000030","Total","d",3200,3200,2515,2100,"290"," "
"2014/15","S08000030","SMR01"," ",975,975,700,645,"",":"
"2014/15","S08000030","SMR04"," ",2225,2220,1815,1515,"290"," "
"2014/15","S08000028","Total","d",105,105,90,80,"20"," "
"2014/15","S08000028","SMR01"," ",70,70,60,55,"",":"
"2014/15","S08000028","SMR04"," ",35,35,30,30,"20"," "
"2014/15","SB0802","Total","d",110,120,10,80,"120"," "
"2014/15","SB0802","SMR01"," ",0,0,0,0,"",":"
"2014/15","SB0802","SMR04"," ",110,120,10,80,"120"," "
"2015/16","S08000015","Total","d",2430,2455,1865,1515,"185"," "
"2015/16","S08000015","SMR01"," ",1190,1190,795,685,"",":"
"2015/16","S08000015","SMR04"," ",1245,1265,1075,915,"185"," "
"2015/16","S08000016","Total","d",775,780,570,465,"50"," "
"2015/16","S08000016","SMR01"," ",285,285,190,175,"",":"
"2015/16","S08000016","SMR04"," ",495,495,385,305,"50"," "
"2015/16","S08000017","Total","d",1375,1390,1095,625,"55"," "
"2015/16","S08000017","SMR01"," ",590,590,445,295,"",":"
"2015/16","S08000017","SMR04"," ",780,800,655,385,"55"," "
