"FinancialYear","HBT","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"1998/99","S08000026","SMR04"," ",0,0,0,0,"0"," "
"1998/99","S08000030","Total","d",3650,3735,3325,2590,"700"," "
"1998/99","S08000030","SMR01"," ",725,730,680,595,"",":"
"1998/99","S08000030","SMR04"," ",2925,3005,2650,2075,"700"," "
"1998/99","S08000028","Total","d",185,170,170,145,"40"," "
"1998/99","S08000028","SMR01"," ",130,130,130,110,"",":"
"1998/99","S08000028","SMR04"," ",55,45,40,35,"40"," "
"1998/99","SB0802","Total","d",85,65,20,65,"245"," "
"1998/99","SB0802","SMR01"," ",0,0,0,0,"",":"
"1998/99","SB0802","SMR04"," ",85,65,20,65,"245"," "
"1999/00","S08000015","Total","d",3260,3285,3075,2175,"450"," "
"1999/00","S08000015","SMR01"," ",815,820,770,655,"",":"
"1999/00","S08000015","SMR04"," ",2445,2465,2305,1630,"450"," "
"1999/00","S08000016","Total","d",880,880,765,600,"120"," "
"1999/00","S08000016","SMR01"," ",225,220,210,190,"",":"
"1999/00","S08000016","SMR04"," ",660,660,550,440,"120"," "
"1999/00","S08000017","Total","d",970,1000,925,740,"195"," "
"1999/00","S08000017","SMR01"," ",245,245,220,195,"",":"
"1999/00","S08000017","SMR04"," ",725,755,705,565,"195"," "
"1999/00","S08000029","Total","d",2220,2250,1975,1480,"450"," "
"1999/00","S08000029","SMR01"," ",350,350,295,275,"",":"
"1999/00","S08000029","SMR04"," ",1865,1900,1680,1235,"450"," "
"1999/00","S08000019","Total","d",1520,1550,1360,1100,"305"," "
"1999/00","S08000019","SMR01"," ",335,330,310,275,"",":"
"1999/00","S08000019","SMR04"," ",1190,1220,1055,855,"305"," "
"1999/00","S08000020","Total","d",3545,3530,3180,2435,"605"," "
"1999/00","S08000020","SMR01"," ",1000,1000,920,820,"",":"
"1999/00","S08000020","SMR04"," ",2545,2535,2260,1715,"605"," "
"1999/00","S08000031","Total","d",11110,11210,9975,7930,"1905"," "
"1999/00","S08000031","SMR01"," ",2810,2810,2510,2255,"",":"
"1999/00","S08000031","SMR04"," ",8300,8400,7465,5900,"1905"," "
"1999/00","S08000022","Total","d",3310,3310,3150,2240,"350"," "
"1999/00","S08000022","SMR01"," ",1130,1125,1050,865,"",":"
"1999/00","S08000022","SMR04"," ",2180,2185,2100,1530,"350"," "
"1999/00","S08000032","Total","d",3805,3850,3425,2660,"630"," "
"1999/00","S08000032","SMR01"," ",865,875,815,705,"",":"
"1999/00","S08000032","SMR04"," ",2940,2975,2605,2040,"630"," "
"1999/00","S08000024","Total","d",6345,6445,5785,4275,"970"," "
"1999/00","S08000024","SMR01"," ",1150,1150,1025,955,"",":"
"1999/00","S08000024","SMR04"," ",5195,5295,4760,3440,"970"," "
"1999/00","S08000025","Total","d",55,55,55,50,"0"," "
"1999/00","S08000025","SMR01"," ",55,55,55,50,"",":"
"1999/00","S08000025","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S08000026","Total","d",95,95,95,75,"0"," "
"1999/00","S08000026","SMR01"," ",95,95,95,75,"",":"
"1999/00","S08000026","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S08000030","Total","d",3340,3390,3090,2435,"645"," "
"1999/00","S08000030","SMR01"," ",670,665,635,575,"",":"
"1999/00","S08000030","SMR04"," ",2670,2725,2455,1935,"645"," "
"1999/00","S08000028","Total","d",335,340,325,220,"35"," "
"1999/00","S08000028","SMR01"," ",160,160,155,115,"",":"
"1999/00","S08000028","SMR04"," ",175,180,170,110,"35"," "
"1999/00","SB0802","Total","d",70,75,25,75,"240"," "
"1999/00","SB0802","SMR01"," ",0,0,0,0,"",":"
"1999/00","SB0802","SMR04"," ",70,75,25,75,"240"," "
"2000/01","S08000015","Total","d",3090,3110,2920,2110,"425"," "
"2000/01","S08000015","SMR01"," ",765,760,730,610,"",":"
"2000/01","S08000015","SMR04"," ",2325,2350,2190,1580,"425"," "
"2000/01","S08000016","Total","d",835,830,745,580,"125"," "
"2000/01","S08000016","SMR01"," ",205,210,200,180,"",":"
"2000/01","S08000016","SMR04"," ",630,620,545,420,"125"," "
"2000/01","S08000017","Total","d",1070,1105,970,785,"160"," "
"2000/01","S08000017","SMR01"," ",245,245,215,190,"",":"
"2000/01","S08000017","SMR04"," ",825,860,755,630,"160"," "
"2000/01","S08000029","Total","d",2070,2090,1825,1415,"430"," "
"2000/01","S08000029","SMR01"," ",360,360,295,265,"",":"
"2000/01","S08000029","SMR04"," ",1710,1730,1530,1170,"430"," "
"2000/01","S08000019","Total","d",1585,1575,1370,1100,"320"," "
"2000/01","S08000019","SMR01"," ",275,280,260,250,"",":"
"2000/01","S08000019","SMR04"," ",1310,1295,1110,870,"320"," "
"2000/01","S08000020","Total","d",3670,3705,3165,2465,"570"," "
"2000/01","S08000020","SMR01"," ",1000,1005,920,810,"",":"
"2000/01","S08000020","SMR04"," ",2670,2705,2245,1735,"570"," "
"2000/01","S08000031","Total","d",10590,10670,9615,7490,"1820"," "
"2000/01","S08000031","SMR01"," ",2645,2640,2365,2110,"",":"
"2000/01","S08000031","SMR04"," ",7945,8030,7250,5610,"1820"," "
"2000/01","S08000022","Total","d",3585,3600,3265,2305,"355"," "
"2000/01","S08000022","SMR01"," ",1240,1260,1165,930,"",":"
"2000/01","S08000022","SMR04"," ",2345,2340,2095,1535,"355"," "
"2000/01","S08000032","Total","d",3845,3855,3375,2580,"625"," "
"2000/01","S08000032","SMR01"," ",875,885,780,665,"",":"
"2000/01","S08000032","SMR04"," ",2970,2970,2595,1980,"625"," "
"2000/01","S08000024","Total","d",6055,6095,5350,4035,"935"," "
"2000/01","S08000024","SMR01"," ",1120,1125,975,890,"",":"
"2000/01","S08000024","SMR04"," ",4935,4970,4375,3260,"935"," "
"2000/01","S08000025","Total","d",75,75,70,60,"0"," "
"2000/01","S08000025","SMR01"," ",75,75,70,60,"",":"
"2000/01","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2000/01","S08000026","Total","d",95,95,95,80,"0"," "
"2000/01","S08000026","SMR01"," ",95,95,95,80,"",":"
"2000/01","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2000/01","S08000030","Total","d",3210,3270,2995,2315,"595"," "
"2000/01","S08000030","SMR01"," ",595,605,585,540,"",":"
"2000/01","S08000030","SMR04"," ",2615,2665,2410,1845,"595"," "
"2000/01","S08000028","Total","d",330,330,315,215,"35"," "
"2000/01","S08000028","SMR01"," ",145,145,145,110,"",":"
"2000/01","S08000028","SMR04"," ",185,185,170,110,"35"," "
"2000/01","SB0802","Total","d",105,110,25,105,"230"," "
"2000/01","SB0802","SMR01"," ",0,0,0,0,"",":"
"2000/01","SB0802","SMR04"," ",105,110,25,105,"230"," "
"2001/02","S08000015","Total","d",3095,3125,2900,2085,"390"," "
"2001/02","S08000015","SMR01"," ",800,800,760,630,"",":"
"2001/02","S08000015","SMR04"," ",2295,2325,2145,1545,"390"," "
"2001/02","S08000016","Total","d",915,925,845,645,"115"," "
"2001/02","S08000016","SMR01"," ",265,265,250,215,"",":"
"2001/02","S08000016","SMR04"," ",650,665,590,460,"115"," "
"2001/02","S08000017","Total","d",1070,1080,970,775,"150"," "
"2001/02","S08000017","SMR01"," ",295,300,260,235,"",":"
"2001/02","S08000017","SMR04"," ",770,780,710,575,"150"," "
"2001/02","S08000029","Total","d",2170,2180,1845,1460,"420"," "
"2001/02","S08000029","SMR01"," ",335,335,290,275,"",":"
"2001/02","S08000029","SMR04"," ",1835,1845,1550,1220,"420"," "
"2001/02","S08000019","Total","d",1535,1555,1385,1100,"295"," "
"2001/02","S08000019","SMR01"," ",260,255,245,230,"",":"
"2001/02","S08000019","SMR04"," ",1275,1300,1140,885,"295"," "
"2001/02","S08000020","Total","d",3530,3555,3125,2400,"560"," "
"2001/02","S08000020","SMR01"," ",1060,1055,980,865,"",":"
"2001/02","S08000020","SMR04"," ",2470,2500,2145,1605,"560"," "
"2001/02","S08000031","Total","d",10480,10560,9185,7250,"1755"," "
"2001/02","S08000031","SMR01"," ",2830,2845,2395,2155,"",":"
"2001/02","S08000031","SMR04"," ",7650,7715,6790,5320,"1755"," "
"2001/02","S08000022","Total","d",3005,3040,2885,2095,"315"," "
"2001/02","S08000022","SMR01"," ",1055,1050,980,810,"",":"
"2001/02","S08000022","SMR04"," ",1950,1990,1910,1410,"315"," "
"2001/02","S08000032","Total","d",3690,3710,3255,2550,"605"," "
"2001/02","S08000032","SMR01"," ",790,785,690,610,"",":"
"2001/02","S08000032","SMR04"," ",2900,2925,2565,1995,"605"," "
"2001/02","S08000024","Total","d",6445,6465,5525,4180,"895"," "
"2001/02","S08000024","SMR01"," ",1305,1295,1055,965,"",":"
"2001/02","S08000024","SMR04"," ",5140,5175,4475,3340,"895"," "
"2001/02","S08000025","Total","d",75,75,75,65,"0"," "
"2001/02","S08000025","SMR01"," ",75,75,75,65,"",":"
"2001/02","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2001/02","S08000026","Total","d",80,80,80,70,"0"," "
"2001/02","S08000026","SMR01"," ",80,80,80,70,"",":"
"2001/02","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2001/02","S08000030","Total","d",3190,3240,2910,2260,"545"," "
"2001/02","S08000030","SMR01"," ",605,600,580,515,"",":"
"2001/02","S08000030","SMR04"," ",2585,2635,2330,1815,"545"," "
"2001/02","S08000028","Total","d",335,335,325,215,"35"," "
"2001/02","S08000028","SMR01"," ",160,160,155,125,"",":"
"2001/02","S08000028","SMR04"," ",175,175,170,105,"35"," "
"2001/02","SB0802","Total","d",155,155,25,135,"235"," "
"2001/02","SB0802","SMR01"," ",0,0,0,0,"",":"
"2001/02","SB0802","SMR04"," ",155,155,25,135,"235"," "
"2002/03","S08000015","Total","d",2840,2875,2710,2025,"355"," "
"2002/03","S08000015","SMR01"," ",770,770,755,640,"",":"
"2002/03","S08000015","SMR04"," ",2070,2105,1955,1455,"355"," "
"2002/03","S08000016","Total","d",980,990,890,680,"105"," "
"2002/03","S08000016","SMR01"," ",290,295,275,240,"",":"
"2002/03","S08000016","SMR04"," ",690,695,615,470,"105"," "
"2002/03","S08000017","Total","d",1015,1020,945,735,"145"," "
"2002/03","S08000017","SMR01"," ",260,255,230,200,"",":"
"2002/03","S08000017","SMR04"," ",755,765,715,565,"145"," "
"2002/03","S08000029","Total","d",2130,2220,1905,1470,"325"," "
"2002/03","S08000029","SMR01"," ",345,345,270,260,"",":"
"2002/03","S08000029","SMR04"," ",1790,1880,1635,1235,"325"," "
"2002/03","S08000019","Total","d",1605,1585,1400,1145,"315"," "
"2002/03","S08000019","SMR01"," ",270,270,265,250,"",":"
"2002/03","S08000019","SMR04"," ",1335,1315,1135,920,"315"," "
"2002/03","S08000020","Total","d",3195,3250,2945,2310,"520"," "
"2002/03","S08000020","SMR01"," ",880,895,855,735,"",":"
"2002/03","S08000020","SMR04"," ",2315,2355,2090,1635,"520"," "
"2002/03","S08000031","Total","d",10155,10195,8980,7170,"1705"," "
"2002/03","S08000031","SMR01"," ",2885,2875,2350,2170,"",":"
"2002/03","S08000031","SMR04"," ",7270,7325,6635,5220,"1705"," "
"2002/03","S08000022","Total","d",3050,3040,2890,2090,"315"," "
"2002/03","S08000022","SMR01"," ",1050,1040,980,795,"",":"
"2002/03","S08000022","SMR04"," ",1995,1995,1910,1420,"315"," "
"2002/03","S08000032","Total","d",3870,3910,3435,2740,"565"," "
"2002/03","S08000032","SMR01"," ",895,900,760,680,"",":"
"2002/03","S08000032","SMR04"," ",2975,3010,2675,2140,"565"," "
"2002/03","S08000024","Total","d",6545,6575,5615,4260,"870"," "
"2002/03","S08000024","SMR01"," ",1440,1445,1175,1060,"",":"
"2002/03","S08000024","SMR04"," ",5105,5135,4445,3335,"870"," "
"2002/03","S08000025","Total","d",65,65,65,55,"0"," "
"2002/03","S08000025","SMR01"," ",65,65,65,55,"",":"
"2002/03","S08000025","SMR04"," ",0,0,0,0,"0"," "
