"FinancialYear","CA","Dataset","DatasetQF","DischargesRate","PatientsRate"
"1997/98","S12000033","SMR01"," ",186.38,151.86
"1997/98","S12000033","SMR04"," ",563.74,386.56
"1997/98","S12000033","Total","d",750.12,524.62
"1997/98","S12000034","SMR01"," ",152.64,128.31
"1997/98","S12000034","SMR04"," ",329.62,252.19
"1997/98","S12000034","Total","d",482.26,365.01
"1997/98","S12000041","SMR01"," ",200,163.64
"1997/98","S12000041","SMR04"," ",554.55,404.55
"1997/98","S12000041","Total","d",754.55,540.91
"1997/98","S12000035","SMR01"," ",457.92,359.79
"1997/98","S12000035","SMR04"," ",692.32,468.82
"1997/98","S12000035","Total","d",1150.24,746.84
"1997/98","S12000036","SMR01"," ",149.2,111.06
"1997/98","S12000036","SMR04"," ",677.56,444.23
"1997/98","S12000036","Total","d",825.63,536.21
"1997/98","S12000005","SMR01"," ",82.37,72.08
"1997/98","S12000005","SMR04"," ",556.01,360.38
"1997/98","S12000005","Total","d",638.39,422.16
"1997/98","S12000006","SMR01"," ",171.69,141.4
"1997/98","S12000006","SMR04"," ",555.48,400.62
"1997/98","S12000006","Total","d",730.54,521.82
"1997/98","S12000042","SMR01"," ",168.48,158.57
"1997/98","S12000042","SMR04"," ",958.04,624.38
"1997/98","S12000042","Total","d",1126.53,759.83
"1997/98","S12000008","SMR01"," ",234.68,205.86
"1997/98","S12000008","SMR04"," ",658.76,452.9
"1997/98","S12000008","Total","d",893.45,625.82
"1997/98","S12000045","SMR01"," ",82.36,73.21
"1997/98","S12000045","SMR04"," ",425.51,274.52
"1997/98","S12000045","Total","d",507.87,343.16
"1997/98","S12000010","SMR01"," ",108.29,85.49
"1997/98","S12000010","SMR04"," ",666.82,387.55
"1997/98","S12000010","Total","d",769.41,467.34
"1997/98","S12000011","SMR01"," ",108.09,85.33
"1997/98","S12000011","SMR04"," ",472.18,307.2
"1997/98","S12000011","Total","d",580.27,386.85
"1997/98","S12000014","SMR01"," ",118.6,90.69
"1997/98","S12000014","SMR04"," ",565.09,376.73
"1997/98","S12000014","Total","d",683.69,449.98
"1997/98","S12000047","SMR01"," ",99.56,82.24
"1997/98","S12000047","SMR04"," ",542.51,356.38
"1997/98","S12000047","Total","d",642.06,427.08
"1997/98","S12000049","SMR01"," ",271.73,218.4
"1997/98","S12000049","SMR04"," ",789.79,538.38
"1997/98","S12000049","Total","d",1061.52,733.92
"1997/98","S12000017","SMR01"," ",275.7,206.18
"1997/98","S12000017","SMR04"," ",577.77,407.56
"1997/98","S12000017","Total","d",853.47,577.77
"1997/98","S12000018","SMR01"," ",306.5,254.45
"1997/98","S12000018","SMR04"," ",832.76,578.3
"1997/98","S12000018","Total","d",1139.26,798.06
"1997/98","S12000019","SMR01"," ",113.14,87.99
"1997/98","S12000019","SMR04"," ",729.1,414.83
"1997/98","S12000019","Total","d",842.24,490.26
"1997/98","S12000020","SMR01"," ",246.67,189.31
"1997/98","S12000020","SMR04"," ",453.19,321.25
"1997/98","S12000020","Total","d",705.6,487.61
"1997/98","S12000013","SMR01"," ",465.78,376.21
"1997/98","S12000013","SMR04"," ",716.59,429.95
"1997/98","S12000013","Total","d",1182.37,788.25
"1997/98","S12000021","SMR01"," ",185.2,163.41
"1997/98","S12000021","SMR04"," ",715.38,468.44
"1997/98","S12000021","Total","d",896.94,606.43
"1997/98","S12000050","SMR01"," ",117.83,105.42
"1997/98","S12000050","SMR04"," ",500.76,344.18
"1997/98","S12000050","Total","d",618.59,434.1
"1997/98","S12000023","SMR01"," ",328.78,278.2
"1997/98","S12000023","SMR04"," ",252.91,227.62
"1997/98","S12000023","Total","d",606.98,455.24
"1997/98","S12000048","SMR01"," ",130.62,111.96
"1997/98","S12000048","SMR04"," ",600.84,417.97
"1997/98","S12000048","Total","d",731.45,507.54
"1997/98","S12000038","SMR01"," ",173.49,150.74
"1997/98","S12000038","SMR04"," ",696.81,489.19
"1997/98","S12000038","Total","d",870.31,620.02
"1997/98","S12000026","SMR01"," ",217.06,188.75
"1997/98","S12000026","SMR04"," ",670.06,429.41
"1997/98","S12000026","Total","d",887.13,580.41
"1997/98","S12000027","SMR01"," ",503.72,394.22
"1997/98","S12000027","SMR04"," ",219.01,197.11
"1997/98","S12000027","Total","d",744.63,503.72
"1997/98","S12000028","SMR01"," ",308.04,250.84
"1997/98","S12000028","SMR04"," ",752.51,510.47
"1997/98","S12000028","Total","d",1056.15,712.9
"1997/98","S12000029","SMR01"," ",134.67,113.32
"1997/98","S12000029","SMR04"," ",407.31,290.7
"1997/98","S12000029","Total","d",541.98,390.88
"1997/98","S12000030","SMR01"," ",101.13,89.23
"1997/98","S12000030","SMR04"," ",612.73,356.93
"1997/98","S12000030","Total","d",713.86,434.27
"1997/98","S12000039","SMR01"," ",136.55,126.05
"1997/98","S12000039","SMR04"," ",829.83,504.2
"1997/98","S12000039","Total","d",971.64,614.5
"1997/98","S12000040","SMR01"," ",161.42,135.06
"1997/98","S12000040","SMR04"," ",764.26,484.25
"1997/98","S12000040","Total","d",922.39,602.85
"1998/99","S12000033","SMR01"," ",201.72,164.62
"1998/99","S12000033","SMR04"," ",579.64,380.25
"1998/99","S12000033","Total","d",781.36,528.63
"1998/99","S12000034","SMR01"," ",148.09,130.4
"1998/99","S12000034","SMR04"," ",347.01,265.23
"1998/99","S12000034","Total","d",492.88,377.95
"1998/99","S12000041","SMR01"," ",186.72,145.73
"1998/99","S12000041","SMR04"," ",573.82,428.09
"1998/99","S12000041","Total","d",760.54,551.05
"1998/99","S12000035","SMR01"," ",485.44,354.53
"1998/99","S12000035","SMR04"," ",681.79,463.62
"1998/99","S12000035","Total","d",1167.23,752.7
"1998/99","S12000036","SMR01"," ",162.47,125.49
"1998/99","S12000036","SMR04"," ",659.96,442.59
"1998/99","S12000036","Total","d",822.43,547.91
"1998/99","S12000005","SMR01"," ",134.27,123.94
"1998/99","S12000005","SMR04"," ",506.09,330.51
"1998/99","S12000005","Total","d",640.36,433.79
"1998/99","S12000006","SMR01"," ",201.69,168.08
"1998/99","S12000006","SMR04"," ",558.02,410.11
"1998/99","S12000006","Total","d",759.71,561.38
"1998/99","S12000042","SMR01"," ",160.34,146.98
"1998/99","S12000042","SMR04"," ",905.26,611.3
"1998/99","S12000042","Total","d",1068.95,741.58
"1998/99","S12000008","SMR01"," ",206.61,177.69
"1998/99","S12000008","SMR04"," ",665.29,446.28
"1998/99","S12000008","Total","d",871.9,599.17
"1998/99","S12000045","SMR01"," ",100.88,87.12
"1998/99","S12000045","SMR04"," ",362.25,261.37
"1998/99","S12000045","Total","d",463.13,339.33
"1998/99","S12000010","SMR01"," ",101.86,79.22
"1998/99","S12000010","SMR04"," ",548.89,345.18
"1998/99","S12000010","Total","d",650.75,407.42
"1998/99","S12000011","SMR01"," ",113.24,90.59
"1998/99","S12000011","SMR04"," ",379.35,277.43
"1998/99","S12000011","Total","d",492.58,351.04
"1998/99","S12000014","SMR01"," ",100.78,83.4
"1998/99","S12000014","SMR04"," ",489.99,340.56
"1998/99","S12000014","Total","d",590.77,410.06
"1998/99","S12000047","SMR01"," ",105.33,85.13
"1998/99","S12000047","SMR04"," ",558.38,363.59
"1998/99","S12000047","Total","d",662.26,441.51
"1998/99","S12000049","SMR01"," ",281.92,218.04
"1998/99","S12000049","SMR04"," ",784.43,553.62
"1998/99","S12000049","Total","d",1066.35,752.92
"1998/99","S12000017","SMR01"," ",327.99,251.38
"1998/99","S12000017","SMR04"," ",608.09,416.57
"1998/99","S12000017","Total","d",936.08,634.43
"1998/99","S12000018","SMR01"," ",256.29,221.34
"1998/99","S12000018","SMR04"," ",809.65,547.53
"1998/99","S12000018","Total","d",1065.94,745.57
"1998/99","S12000019","SMR01"," ",118.57,93.61
"1998/99","S12000019","SMR04"," ",630.3,386.92
"1998/99","S12000019","Total","d",748.88,474.29
"1998/99","S12000020","SMR01"," ",224.65,167.05
"1998/99","S12000020","SMR04"," ",639.4,420.51
"1998/99","S12000020","Total","d",864.06,564.52
"1998/99","S12000013","SMR01"," ",490.2,417.57
"1998/99","S12000013","SMR04"," ",217.86,181.55
"1998/99","S12000013","Total","d",689.91,580.97
"1998/99","S12000021","SMR01"," ",163.67,130.94
"1998/99","S12000021","SMR04"," ",687.42,461.92
"1998/99","S12000021","Total","d",851.09,567.4
"1998/99","S12000050","SMR01"," ",138.12,111.74
"1998/99","S12000050","SMR04"," ",488.86,339.87
"1998/99","S12000050","Total","d",626.98,436.09
"1998/99","S12000023","SMR01"," ",331.8,255.23
"1998/99","S12000023","SMR04"," ",280.76,204.19
"1998/99","S12000023","Total","d",612.56,382.85
"1998/99","S12000048","SMR01"," ",167.19,122.6
"1998/99","S12000048","SMR04"," ",683.61,460.69
"1998/99","S12000048","Total","d",850.8,561
"1998/99","S12000038","SMR01"," ",185.38,159.71
"1998/99","S12000038","SMR04"," ",661.65,464.86
"1998/99","S12000038","Total","d",849.87,598.9
"1998/99","S12000026","SMR01"," ",207.47,183.89
"1998/99","S12000026","SMR04"," ",612.98,419.65
"1998/99","S12000026","Total","d",820.45,575.25
"1998/99","S12000027","SMR01"," ",484.58,352.42
"1998/99","S12000027","SMR04"," ",220.26,176.21
"1998/99","S12000027","Total","d",704.85,462.56
"1998/99","S12000028","SMR01"," ",313.27,255.91
"1998/99","S12000028","SMR04"," ",825.1,555.95
"1998/99","S12000028","Total","d",1142.78,758.91
"1998/99","S12000029","SMR01"," ",151.65,121.98
"1998/99","S12000029","SMR04"," ",481.32,331.32
"1998/99","S12000029","Total","d",632.97,443.41
"1998/99","S12000030","SMR01"," ",112.19,106.28
"1998/99","S12000030","SMR04"," ",566.84,371.99
"1998/99","S12000030","Total","d",679.03,466.46
"1998/99","S12000039","SMR01"," ",163.28,142.21
"1998/99","S12000039","SMR04"," ",795.32,500.37
"1998/99","S12000039","Total","d",958.6,621.51
"1998/99","S12000040","SMR01"," ",140.34,120.76
"1998/99","S12000040","SMR04"," ",838.77,466.71
"1998/99","S12000040","Total","d",975.85,574.41
"1999/00","S12000033","SMR01"," ",216.65,179.38
"1999/00","S12000033","SMR04"," ",561.43,358.76
"1999/00","S12000033","Total","d",778.08,521.83
"1999/00","S12000034","SMR01"," ",149.62,123.22
"1999/00","S12000034","SMR04"," ",332.25,253.04
"1999/00","S12000034","Total","d",481.87,356.45
"1999/00","S12000041","SMR01"," ",177.98,141.47
"1999/00","S12000041","SMR04"," ",533.95,392.48
"1999/00","S12000041","Total","d",711.94,515.7
"1999/00","S12000035","SMR01"," ",496.51,381.93
"1999/00","S12000035","SMR04"," ",671.1,501.96
"1999/00","S12000035","Total","d",1167.61,802.05
"1999/00","S12000036","SMR01"," ",143.12,116.28
"1999/00","S12000036","SMR04"," ",645.14,436.06
"1999/00","S12000036","Total","d",788.26,535.57
"1999/00","S12000005","SMR01"," ",114.01,103.65
"1999/00","S12000005","SMR04"," ",456.05,331.67
"1999/00","S12000005","Total","d",570.07,424.96
"1999/00","S12000006","SMR01"," ",165.28,131.55
"1999/00","S12000006","SMR04"," ",492.48,360.93
"1999/00","S12000006","Total","d",654.39,478.99
"1999/00","S12000042","SMR01"," ",162.2,155.44
"1999/00","S12000042","SMR04"," ",773.81,554.17
"1999/00","S12000042","Total","d",936,692.71
"1999/00","S12000008","SMR01"," ",186.64,153.46
"1999/00","S12000008","SMR04"," ",613.85,418.91
"1999/00","S12000008","Total","d",796.35,551.64
"1999/00","S12000045","SMR01"," ",96.62,78.22
"1999/00","S12000045","SMR04"," ",326.68,234.66
"1999/00","S12000045","Total","d",423.3,303.67
"1999/00","S12000010","SMR01"," ",123.44,106.61
"1999/00","S12000010","SMR04"," ",594.77,409.61
"1999/00","S12000010","Total","d",723.82,504.99
"1999/00","S12000011","SMR01"," ",107.32,84.73
"1999/00","S12000011","SMR04"," ",333.26,248.53
"1999/00","S12000011","Total","d",440.58,327.61
"1999/00","S12000014","SMR01"," ",110.67,86.46
"1999/00","S12000014","SMR04"," ",397.73,283.6
"1999/00","S12000014","Total","d",508.4,363.15
"1999/00","S12000047","SMR01"," ",116.7,95.09
"1999/00","S12000047","SMR04"," ",520.13,340.03
"1999/00","S12000047","Total","d",638.27,425.04
"1999/00","S12000049","SMR01"," ",272.75,216.14
"1999/00","S12000049","SMR04"," ",790.81,551.51
"1999/00","S12000049","Total","d",1063.56,747.06
"1999/00","S12000017","SMR01"," ",317.88,243.79
"1999/00","S12000017","SMR04"," ",657.27,423.04
"1999/00","S12000017","Total","d",975.14,633.37
"1999/00","S12000018","SMR01"," ",275.5,234.47
"1999/00","S12000018","SMR04"," ",873.39,609.61
"1999/00","S12000018","Total","d",1148.89,808.91
"1999/00","S12000019","SMR01"," ",99.22,80.62
"1999/00","S12000019","SMR04"," ",595.31,365.87
"1999/00","S12000019","Total","d",694.53,440.28
"1999/00","S12000020","SMR01"," ",213.13,167.05
"1999/00","S12000020","SMR04"," ",535.71,351.38
"1999/00","S12000020","Total","d",748.85,495.39
"1999/00","S12000013","SMR01"," ",606.39,422.64
"1999/00","S12000013","SMR04"," ",716.65,441.01
"1999/00","S12000013","Total","d",1323.04,826.9
"1999/00","S12000021","SMR01"," ",160.4,131.23
"1999/00","S12000021","SMR04"," ",634.3,419.22
"1999/00","S12000021","Total","d",794.69,535.87
"1999/00","S12000050","SMR01"," ",186.24,142.79
"1999/00","S12000050","SMR04"," ",546.31,369.38
"1999/00","S12000050","Total","d",732.56,493.54
"1999/00","S12000023","SMR01"," ",308.96,257.47
